item,name,psid
Q60639272,Angela Paxton,Q60639272-4CB861DC-A6CF-4019-A00F-D67A0DA4E8BF
Q60524427,Beverly Powell,Q60524427-166E4512-9004-4617-8032-7AFB7A142EA9
Q18619029,Bob Hall,Q18619029-09F91853-66B1-42AB-8E2D-3DEA8650C360
Q4946593,Borris Miles,Q4946593-839F9AF7-094A-4541-BCB3-38BDEAEE0139
Q16208257,Brandon Creighton,Q16208257-1138C9C5-5287-4490-A0DA-DC1896F8EBFA
Q21042340,Brian Birdwell,Q21042340-AED3360A-36CC-47EE-8A0C-7D6A89B3E139
Q4980170,Bryan Hughes,Q4980170-501294DD-9A70-4B9B-829F-BC495214125F
Q4980170,Bryan Hughes,Q4980170-687E6FC8-4AE7-4F11-BC2B-BFDE5736ACA0
Q5044227,Carol Alvarado,Q5044227-EA35324D-BDBB-4695-9465-CE53F451DEF3
Q28086314,Cesar Blanco,Q28086314-958BA855-1218-4ECE-AE7E-E9CBC5D06ED0
Q5081599,Charles Perry,Q5081599-0D870AF9-2ED6-4F6E-A5D3-7651FB27DFA8
Q16213055,Charles Schwertner,Q16213055-4ABD9078-191E-4472-96AD-203E3EC574D5
Q28370262,Dawn Buckingham,Q28370262-C34C93F8-8243-4D63-8DDD-3AA2598AF033
Q4793462,Donna Campbell,Q4793462-0FE87596-07D5-4776-A4B4-E67273199E9B
Q16196712,"Drew Springer, Jr.",Q16196712-3FEF33E9-A49A-401D-AE8E-DFEB439DA95D
Q5336251,"Eddie Lucio, Jr.",Q5336251-CB555A23-3DDB-4655-9560-CD1DBF1FEFD5
Q6152586,Jane Nelson,Q6152586-95CDDC25-5C22-41CB-8956-A2D20DE261D1
Q6205149,Joan Huffman,Q6205149-2CAF4679-3521-481C-8824-011525F94146
Q6263891,John Whitmire,Q6263891-E01A62E9-87DE-4E7D-ACF2-55A5E529AD87
Q6279483,Jose Menendez,Q6279483-E78EE4B8-E0B2-4B3D-80D0-E8AF6FEBBC83
Q6299989,Juan Hinojosa,Q6299989-6DAA4E79-F8D5-4F0E-98F7-01EC9244BF8A
Q13562493,Judith Zaffirini,Q13562493-FB7982A6-F5CF-4E7A-9969-E338B0C8F07F
Q6385421,Kel Seliger,Q6385421-75936E2D-A08C-4E46-8D6E-83B30C680AAB
Q16195101,Kelly Hancock,Q16195101-8ADD9618-EA89-424B-A9CC-8A76EE1CD177
Q6491197,Larry Taylor,Q6491197-AC20C01B-3A43-45A5-A539-990AA247103A
Q16195634,Lois Kolkhorst,Q16195634-7600B70E-6957-433F-A831-112BE517C981
Q58756295,Nathan M. Johnson,Q58756295-7D7F3ACC-52F3-49CA-A797-31F1F175C80D
Q18630746,Paul Bettencourt,Q18630746-18E4204F-7376-42A0-9980-37F172884E8A
Q7348034,Robert Nichols,Q7348034-4FAD95C7-0B60-423C-9DD3-25E6D8C06BC8
Q16729525,Roland Gutierrez,Q16729525-2F365F92-7257-4746-B126-64233C6DC5E6
Q7375186,Royce West,Q7375186-CBC60326-F98C-4EB0-BB08-95F02B6BA7F7
Q97861447,Sarah Eckhardt,Q97861447-C645206B-1B13-4288-917B-28C5A4D4C058
